MutantID,Operator,Extra,POS_NEG,Class,Line,Original,Mutated,AST_NodeType,AST_Condition,MappingStatus
1,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,34,1218,1L,,,No Match Found
2,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,34,1218,-1L,,,No Match Found
3,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,36,1319,0L,,,No Match Found
4,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,36,1319,-1L,,,No Match Found
5,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils,38,1432,0L,,,No Match Found
6,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils,38,1432,1L,,,No Match Found
7,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,40,1548,1,,,No Match Found
8,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,40,1548,-1,,,No Match Found
9,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,42,1660,0,,,No Match Found
10,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,42,1660,-1,,,No Match Found
11,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils,44,1784,0,,,No Match Found
12,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils,44,1784,1,,,No Match Found
13,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,46,1899,1,,,No Match Found
14,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,46,1899,-1,,,No Match Found
15,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,48,2011,0,,,No Match Found
16,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,48,2011,-1,,,No Match Found
17,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils,50,2135,0,,,No Match Found
18,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils,50,2135,1,,,No Match Found
19,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,52,2245,1,,,No Match Found
20,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,52,2245,-1,,,No Match Found
21,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,54,2352,0,,,No Match Found
22,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,54,2352,-1,,,No Match Found
23,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils,56,2471,0,,,No Match Found
24,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils,56,2471,1,,,No Match Found
25,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,58,2582,1.0,,,No Match Found
26,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,58,2582,-1.0,,,No Match Found
27,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,60,2693,0.0,,,No Match Found
28,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,60,2693,-1.0,,,No Match Found
29,ORU,-(double),+(double),org.apache.commons.lang3.math.NumberUtils,62,2816,+1.0,,,No Match Found
30,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,62,2817,0.0,,,No Match Found
31,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,62,2817,-1.0,,,No Match Found
32,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils,64,2926,1.0F,,,No Match Found
33,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils,64,2926,-1.0F,,,No Match Found
34,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,66,3033,0.0F,,,No Match Found
35,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,66,3033,-1.0F,,,No Match Found
36,ORU,-(float),+(float),org.apache.commons.lang3.math.NumberUtils,68,3152,+1.0F,,,No Match Found
37,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,68,3153,0.0F,,,No Match Found
38,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,68,3153,-1.0F,,,No Match Found
39,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toInt(java.lang.String),100,4233,1,,,No Match Found
40,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toInt(java.lang.String),100,4233,-1,,,No Match Found
41,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toInt(java.lang.String,int)",121,4925,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=null), operator===, prefix_operators=None)",Exact Match
42,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toLong(java.lang.String),149,5773,1L,,,No Match Found
43,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toLong(java.lang.String),149,5773,-1L,,,No Match Found
44,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toLong(java.lang.String,long)",170,6480,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=null), operator===, prefix_operators=None)",Exact Match
45,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toFloat(java.lang.String),199,7385,1.0F,,,No Match Found
46,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toFloat(java.lang.String),199,7385,-1.0F,,,No Match Found
47,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toFloat(java.lang.String,float)",222,8162,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=null), operator===, prefix_operators=None)",Exact Match
48,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toDouble(java.lang.String),251,9068,1.0,,,No Match Found
49,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toDouble(java.lang.String),251,9068,-1.0,,,No Match Found
50,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toDouble(java.lang.String,double)",274,9853,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=null), operator===, prefix_operators=None)",Exact Match
51,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toByte(java.lang.String),303,10776,1,,,No Match Found
52,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toByte(java.lang.String),303,10776,-1,,,No Match Found
53,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toByte(java.lang.String,byte)",324,11475,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=null), operator===, prefix_operators=None)",Exact Match
54,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toShort(java.lang.String),352,12337,1,,,No Match Found
55,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toShort(java.lang.String),352,12337,-1,,,No Match Found
56,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toShort(java.lang.String,short)",373,13045,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=null), operator===, prefix_operators=None)",Exact Match
57,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),451,16191,false,IfStatement,"BinaryOperation(operandl=MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[]), operandr=Literal(postfix_operators=[], prefix_operators=[], qualifier=None, selectors=[], value=null), operator===, prefix_operators=None)",Exact Match
58,COR,<METHOD_INVOCATION(boolean)>,FALSE,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),454,16268,false,IfStatement,"MethodInvocation(arguments=[MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[])], member=isBlank, postfix_operators=[], prefix_operators=[], qualifier=StringUtils, selectors=[], type_arguments=None)",Exact Match
59,COR,<METHOD_INVOCATION(boolean)>,TRUE,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),454,16268,true,IfStatement,"MethodInvocation(arguments=[MemberReference(member=str, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[])], member=isBlank, postfix_operators=[], prefix_operators=[], qualifier=StringUtils, selectors=[], type_arguments=None)",Exact Match
60,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),459,16530,1,ForStatement,N/A,Nearby Match (±1 lines)
61,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),459,16530,-1,ForStatement,N/A,Nearby Match (±1 lines)
62,COR,<METHOD_INVOCATION(boolean)>,FALSE,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),461,16610,false,IfStatement,"MethodInvocation(arguments=[MemberReference(member=pfx, postfix_operators=[], prefix_operators=[], qualifier=, selectors=[])], member=startsWith, postfix_operators=[], prefix_operators=[], qualifier=str, selectors=[], type_arguments=None)",Exact Match
